44301	person
3186	car
2880	cup
2788	bird
1749	cell phone
1618	boat
1581	dog
1580	potted plant
1451	vase
1444	cat
1319	clock
1256	bowl
1196	chair
1153	bottle
916	umbrella
725	airplane
717	book
682	tie
654	cake
623	bench
591	laptop
588	handbag
582	orange
571	sports ball
570	backpack
536	traffic light
504	kite
503	bear
501	wine glass
489	motorcycle
475	dining table
470	truck
446	horse
441	apple
419	cow
414	donut
410	bed
351	frisbee
349	train
341	surfboard
331	bicycle
319	sheep
296	spoon
291	keyboard
283	elephant
282	teddy bear
269	banana
261	giraffe
251	scissors
251	sandwich
229	skateboard
224	remote
220	broccoli
217	mouse
204	pizza
204	tv
201	fork
194	suitcase
193	knife
192	zebra
185	carrot
165	toothbrush
151	bus
125	tennis racket
125	stop sign
119	baseball glove
118	toilet
106	couch
104	fire hydrant
94	baseball bat
89	parking meter
74	hot dog
66	sink
45	oven
32	microwave
31	refrigerator
25	snowboard
23	skis
7	hair dryer
7	toaster
